rtApex	intensityApex	intensitySum	nScans	mz	rtStart	rtEnd	FAIMS	im	scanApex	hill_idx	hills_scan_lists	hills_intensity_list	hills_mz_array	feature_idx
52.48818	52669.78906	238058.51562	9	360.01639	52.45331	52.51793	0	0	18915	1	[0, 1, 2, 3, 4, 5, 6, 7, 8]	[19136.91016, 14699.83789, 40731.76562, 16607.53516, 52669.78906, 45415.30078, 17434.61328, 14372.95996, 16989.80664]	[360.01672, 360.01633, 360.01624, 360.01672, 360.0163, 360.01624, 360.01645, 360.01657, 360.01675]	-1
52.60733	63698.02734	280358.84375	10	360.01654	52.52826	52.60733	0	0	18957	2	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[13169.92773, 27919.69727, 26076.01758, 18521.01172, 26340.4668, 16005.22754, 45815.30078, 15569.79102, 27243.35742, 63698.02734]	[360.01654, 360.0166, 360.01648, 360.01669, 360.01633, 360.0162, 360.01694, 360.01645, 360.01657, 360.01636]	-1
52.46841	41312.47266	137771.42188	7	360.05295	52.45331	52.50173	0	0	18906	3	[0, 1, 2, 3, 4, 5, 6]	[16946.91797, 12002.26758, 41312.47266, 11270.75684, 13825.2334, 22663.60742, 19750.16016]	[360.05313, 360.05225, 360.05322, 360.05319, 360.05292, 360.0535, 360.05203]	-1
52.4941	50747.28906	379522	16	360.15088	52.45331	52.58212	0	0	18916	4	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[19022.83984, 35745.78906, 23674.60156, 16876.06055, 18234.62109, 50747.28906, 42145.51172, 20017.89844, 21273.16406, 15310.48828, 15985.375, 25407.18945, 16128.87598, 24102.82227, 13893.49316, 20955.95703]	[360.15054, 360.15109, 360.15094, 360.15045, 360.15088, 360.15073, 360.15063, 360.1507, 360.15051, 360.15131, 360.15106, 360.15082, 360.15131, 360.15137, 360.15103, 360.15082]	-1
52.45331	39151.62891	54451.55469	2	360.90732	52.45331	52.45944	0	0	18901	5	[0, 1]	[39151.62891, 15299.92676]	[360.90735, 360.90707]	-1
52.46841	54096.00781	103460.98438	4	360.91638	52.45331	52.48153	0	0	18906	6	[0, 1, 2, 3]	[17087.25977, 14683.96094, 54096.00781, 17593.75781]	[360.91736, 360.9169, 360.91592, 360.91647]	-1
52.48153	120031	2352027.25	33	360.94144	52.45331	52.73576	0	0	18913	7	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]	[76926.46875, 42555.99219, 90945.90625, 120031, 89093.1875, 63924.60547, 46040.15234, 67233.58594, 60122.09766, 60585.46875, 66780.52344, 91134.96875, 98301.04688, 69796.27344, 75940.79688, 73818.92969, 28888.07422, 42384.71875, 96767.82812, 64581.58984, 94127.3125, 71610.78906, 76100.71875, 55110.40625, 76911.42969, 67927.65625, 57066.41797, 42652.21484, 102928.67188, 100575.85938, 70151.10938, 70644.76562, 40366.78125]	[360.94189, 360.94214, 360.94086, 360.94083, 360.94211, 360.94196, 360.94208, 360.94055, 360.94186, 360.94067, 360.94177, 360.94211, 360.94073, 360.94165, 360.94177, 360.94171, 360.94339, 360.94244, 360.94037, 360.9422, 360.94073, 360.94205, 360.94186, 360.94205, 360.9404, 360.94199, 360.94177, 360.94217, 360.94006, 360.94183, 360.94177, 360.94144, 360.9422]	-1
52.92554	135713.48438	1809837.875	25	360.94144	52.74168	52.94903	0	0	19082	8	[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]	[60418.76562, 45401.36328, 52285.28516, 55201.05469, 81069.72656, 87546.76562, 91672.25, 67467.89062, 73292.14844, 76766.67969, 78120.32031, 29298.47266, 79948.17188, 56797.32031, 56361.42578, 74841.82812, 76497.70312, 92719.625, 90307.25, 72273.05469, 57370.37891, 135713.48438, 84386.59375, 64282.92188, 69797.34375]	[360.94168, 360.94174, 360.94214, 360.9418, 360.94174, 360.94061, 360.94141, 360.94168, 360.94199, 360.94232, 360.94174, 360.94119, 360.94037, 360.94156, 360.94165, 360.94168, 360.94211, 360.94046, 360.94208, 360.9415, 360.94186, 360.94055, 360.94156, 360.94141, 360.94199]	-1
52.74168	297669.53125	7647554	37	360.95139	52.45331	52.77126	0	0	19009	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]	[189948.8125, 173052.89062, 174811.5625, 150887.96875, 209302.10938, 248911.76562, 197885.875, 131724.75, 157525.4375, 81131.07812, 233978.90625, 151955.84375, 154734.32812, 256679.17188, 213166.78125, 279006.59375, 137415.75, 257089.60938, 243712.35938, 175616.09375, 228860.82812, 194527.75, 212642.59375, 261939.26562, 147061.42188, 262917.875, 225293.14062, 182904.875, 231693.46875, 289198.125, 216480.48438, 200058.15625, 236238.6875, 297669.53125, 208439.23438, 187991.39062, 245099.875]	[360.95105, 360.95169, 360.952, 360.9519, 360.95172, 360.95093, 360.95148, 360.95175, 360.95154, 360.95276, 360.95084, 360.9519, 360.95178, 360.95071, 360.95142, 360.95078, 360.95142, 360.95135, 360.95178, 360.95203, 360.95142, 360.95163, 360.95093, 360.95139, 360.95197, 360.95139, 360.95096, 360.95163, 360.95163, 360.95078, 360.95093, 360.95078, 360.95126, 360.95126, 360.9512, 360.95148, 360.95105]	-1
52.91945	313452.21875	6725003	33	360.95132	52.77719	53.05422	0	0	19081	10	[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]	[215040.3125, 226154.70312, 36296.1875, 169744.01562, 243369.40625, 184901.1875, 114903.97656, 121184.03906, 153918.60938, 214730.89062, 198343.14062, 257889.40625, 217828.15625, 234937.46875, 253227.85938, 202062.76562, 313452.21875, 183089.73438, 228633.10938, 310337.5625, 126521.46875, 271352.59375, 136461.8125, 308502.0625, 200460.03125, 154152.82812, 186024.28125, 208718.53125, 218219.92188, 121993.46094, 252300.60938, 268200.9375, 192049.28125]	[360.95084, 360.95148, 360.95087, 360.95074, 360.95157, 360.95203, 360.95172, 360.95145, 360.95181, 360.95093, 360.95105, 360.95074, 360.95169, 360.95154, 360.9516, 360.95074, 360.95142, 360.95215, 360.95062, 360.95078, 360.95187, 360.95117, 360.95157, 360.95132, 360.95187, 360.95184, 360.95148, 360.95148, 360.95148, 360.95068, 360.95148, 360.95068, 360.95166]	-1
53.32662	310391.90625	8986002	47	360.95145	53.06014	53.41626	0	0	19224	11	[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]	[104133.15625, 90639.30469, 191686.03125, 171502.85938, 194712, 187238.89062, 169723.4375, 154690.98438, 258630.14062, 204986.90625, 206905.9375, 263637.03125, 220530.3125, 152012.28125, 220655, 116864.98438, 141939.98438, 221141.96875, 270218, 155261.78125, 175568.6875, 290728.1875, 238143.04688, 252132.32812, 238573.5, 203519.42188, 181277.54688, 203275.25, 272514.46875, 90625.5625, 165601.14062, 222419.04688, 95049.23438, 182994.20312, 212581.29688, 310391.90625, 169371.5625, 124013.77344, 186623.79688, 111876.73438, 184431.09375, 236337.34375, 152662.96875, 186452.96875, 202125.79688, 177665.70312, 221933.59375]	[360.95212, 360.95218, 360.95132, 360.95178, 360.95178, 360.95172, 360.95212, 360.95078, 360.95163, 360.95157, 360.952, 360.95129, 360.95151, 360.95209, 360.95123, 360.95224, 360.95163, 360.95068, 360.95078, 360.95184, 360.95163, 360.95074, 360.95068, 360.95148, 360.95123, 360.95172, 360.95145, 360.9516, 360.95154, 360.95181, 360.95111, 360.95139, 360.95218, 360.95132, 360.95111, 360.95129, 360.9516, 360.95206, 360.95084, 360.95203, 360.95139, 360.9512, 360.95166, 360.95169, 360.95151, 360.95148, 360.95172]	-1
52.78476	767965	68946272	117	360.97311	52.45331	53.41626	0	0	19026	12	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]	[576398.375, 525258.5, 621148.75, 454196.5625, 496609.15625, 649840.4375, 468707.0625, 496289.1875, 598748.9375, 469046.09375, 601622.6875, 635015.375, 563220.8125, 464380.65625, 468365.71875, 589446.4375, 509238.875, 561130.5, 575864.6875, 554728.0625, 625812.625, 553080.1875, 588886.0625, 511086.125, 493804.09375, 608148, 620284.125, 581693, 633085.625, 696198.6875, 691390.125, 529710.25, 536394.875, 654382.75, 569978, 672802.375, 613933.5625, 617750.125, 767965, 151052.71875, 565097.625, 610324.1875, 757358.125, 426042.78125, 618538.625, 536709.3125, 595672.375, 543506.3125, 655239.375, 564768.1875, 529244.125, 724953.25, 553041.8125, 572082.6875, 577523.3125, 560777.375, 590909.6875, 666459.125, 703645.625, 599816.5625, 696257.75, 705492.25, 556265.875, 589745.5625, 668972, 609529.75, 478224.09375, 704889.625, 655402.1875, 647742.0625, 522862.625, 607992.4375, 575404.125, 630042, 680601.875, 659248.4375, 664168.875, 588454, 660151.8125, 627217.625, 627367.0625, 676334, 633700.5, 671190.1875, 696135.8125, 577895.875, 563786.875, 761556.25, 704842.9375, 677662.625, 544307.5, 648478.6875, 587913.75, 588804.4375, 492335.3125, 553011.125, 547343.3125, 663060.125, 729488.8125, 496886.40625, 501684.1875, 662910.625, 703305.3125, 412767.125, 559733.5625, 565047.25, 499396.40625, 444462.53125, 533940.25, 414371.0625, 550883.4375, 599305.625, 461796.53125, 700757, 648254.25, 540812.25, 627664.9375]	[360.97302, 360.97324, 360.97321, 360.97321, 360.9733, 360.97327, 360.97324, 360.97324, 360.9733, 360.97333, 360.97324, 360.97327, 360.97324, 360.97311, 360.97299, 360.97311, 360.97327, 360.97305, 360.97314, 360.97311, 360.97321, 360.97305, 360.97324, 360.97287, 360.97296, 360.97333, 360.97321, 360.97318, 360.97318, 360.97318, 360.97321, 360.97324, 360.97318, 360.97321, 360.97302, 360.97321, 360.97308, 360.97311, 360.97327, 360.97305, 360.97318, 360.97314, 360.97324, 360.97305, 360.97318, 360.97305, 360.97321, 360.97305, 360.97302, 360.97305, 360.97318, 360.97321, 360.97308, 360.97302, 360.97308, 360.97305, 360.97302, 360.97311, 360.97314, 360.97314, 360.97305, 360.97318, 360.97336, 360.97299, 360.97318, 360.9733, 360.97308, 360.97305, 360.97308, 360.97318, 360.97305, 360.97318, 360.97311, 360.97305, 360.97327, 360.97314, 360.97324, 360.97333, 360.97318, 360.97305, 360.97308, 360.97327, 360.97318, 360.97324, 360.97324, 360.97308, 360.97311, 360.97302, 360.97324, 360.97321, 360.97327, 360.97299, 360.97299, 360.97318, 360.97318, 360.97321, 360.97311, 360.97324, 360.97311, 360.97314, 360.97324, 360.97311, 360.97311, 360.97278, 360.97324, 360.97318, 360.97308, 360.97314, 360.97314, 360.97305, 360.97318, 360.97311, 360.97321, 360.97318, 360.97311, 360.97296, 360.97324]	146
52.70083	342502.84375	9869142	42	360.99823	52.45331	52.81844	0	0	18991	13	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	[214323.14062, 207534.84375, 213075.25, 171591.73438, 228106.57812, 281046.03125, 231150, 192943.82812, 194717.07812, 109990.61719, 260169.70312, 259677.95312, 200542.57812, 326209.84375, 211718.79688, 313299.125, 174249.42188, 303283.5, 223455.15625, 192050.39062, 258517.6875, 260331.39062, 320950.125, 227711.25, 203762.96875, 282039.71875, 240911.42188, 238176.71875, 178493.98438, 342502.84375, 240267.75, 236535.5625, 266148.6875, 329219.6875, 216029.15625, 227912.375, 263251.46875, 265339.53125, 285741.03125, 41110.59375, 189218.92188, 245834.32812]	[360.99835, 360.99835, 360.99832, 360.99832, 360.99823, 360.99823, 360.99841, 360.99829, 360.9982, 360.99829, 360.99811, 360.99823, 360.9982, 360.99838, 360.99832, 360.99811, 360.99817, 360.9982, 360.99832, 360.99826, 360.99817, 360.99829, 360.9985, 360.99805, 360.99826, 360.9982, 360.99838, 360.9982, 360.99823, 360.99814, 360.99829, 360.9982, 360.99823, 360.99817, 360.99838, 360.99817, 360.99844, 360.99826, 360.9982, 360.99817, 360.99811, 360.99802]	-1
52.91945	336289.4375	6441212.5	27	360.9982	52.82727	53.04385	0	0	19081	14	[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]	[236582.96875, 161514.79688, 154915.57812, 218576.79688, 232304.28125, 205328.32812, 303531.5625, 291226.125, 191328.23438, 310647.84375, 247923.25, 336289.4375, 266423.28125, 251204.20312, 233757.01562, 189952.89062, 299477.5, 207759.14062, 297691.78125, 211204.48438, 209577.3125, 237983.73438, 268810.65625, 175916.23438, 156197.39062, 297331.34375, 247756.04688]	[360.9982, 360.99823, 360.99814, 360.99814, 360.99823, 360.99811, 360.99835, 360.99823, 360.99796, 360.99838, 360.99838, 360.99808, 360.99811, 360.99811, 360.99832, 360.99796, 360.99814, 360.99832, 360.99823, 360.99829, 360.99826, 360.99829, 360.99805, 360.9982, 360.99826, 360.99826, 360.99817]	-1
53.1127	298067.09375	10429092	48	360.99817	53.05422	53.41626	0	0	19147	15	[69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]	[167121.6875, 141166.85938, 102441.75781, 183506.46875, 259852.71875, 208232.45312, 268258.6875, 201988.25, 240100.1875, 298067.09375, 212234.04688, 264696.28125, 218101.01562, 210704.6875, 197511.5625, 223547.48438, 208826.3125, 197996.64062, 277565.71875, 290248.1875, 222002.51562, 170499.95312, 238767, 264591.34375, 267303.75, 189422.40625, 241046.90625, 242595.34375, 176616.10938, 251912.54688, 182974.90625, 177750.85938, 226020.20312, 174573.79688, 194982.48438, 229191.04688, 280194.3125, 172919.60938, 184829.71875, 221340.35938, 149598.14062, 193204.70312, 277544.1875, 177975.59375, 267316.53125, 227328.125, 195886.75, 258532.59375]	[360.99823, 360.99802, 360.99826, 360.99829, 360.99823, 360.99826, 360.99811, 360.99799, 360.99811, 360.99808, 360.99847, 360.99805, 360.99829, 360.99802, 360.99826, 360.99817, 360.99838, 360.99817, 360.99817, 360.99811, 360.99829, 360.99832, 360.99796, 360.99817, 360.9982, 360.9982, 360.99838, 360.99814, 360.99838, 360.99817, 360.99835, 360.99826, 360.99829, 360.99808, 360.99805, 360.99826, 360.99829, 360.99854, 360.99844, 360.99805, 360.9982, 360.99811, 360.99823, 360.99826, 360.9985, 360.99823, 360.99814, 360.99814]	-1
52.4941	76402.71875	932951.75	18	361.01086	52.45331	52.59703	0	0	18916	16	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[50994.97266, 43226.76562, 67573.57812, 39967.75, 25929.86133, 76402.71875, 66083.99219, 50089.33203, 63519.62891, 43530.63281, 55040.39062, 63999.11328, 58310.89453, 60714.33594, 41761.69141, 49286.58594, 21439.78125, 55079.73828]	[361.01099, 361.01129, 361.01129, 361.01089, 361.00958, 361.01059, 361.01117, 361.01056, 361.01132, 361.01129, 361.01077, 361.01108, 361.01065, 361.0108, 361.01007, 361.01099, 361.01031, 361.01093]	-1
52.77126	106971.51562	1228025.625	22	361.01093	52.60733	52.79515	0	0	19022	17	[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[25752.90234, 40921.81641, 52853.83594, 29550.73438, 66575.26562, 53817.98828, 73280.75781, 29063.06836, 64096.10938, 50805.95312, 94549.1875, 67960.27344, 67992.64844, 38693.75, 63806.20312, 85844.14062, 56907.60547, 28267.72461, 106971.51562, 62264.95703, 59449.53906, 8599.69922]	[361.01025, 361.01077, 361.01071, 361.01059, 361.01065, 361.01028, 361.01123, 361.01056, 361.01123, 361.01111, 361.01089, 361.01071, 361.01111, 361.01031, 361.01114, 361.01086, 361.01111, 361.01044, 361.01141, 361.01126, 361.01105, 361.01031]	-1
