scan_id	RT	total_intensity
18901	3147.19878	276014660
18902	3147.56616	266168240
18906	3148.10478	322453410
18913	3148.89156	284421760
18915	3149.29056	332443970
18916	3149.64606	363830140
18919	3150.1038	311633150
18920	3150.45504	252897380
18925	3151.07604	288674210
18929	3151.69542	222131020
18934	3152.38944	318768100
18935	3152.74668	333131200
18939	3153.35304	277348030
18944	3154.05252	381820860
18945	3154.40766	352676900
18948	3154.92702	351641020
18949	3155.28504	267522530
18953	3155.82168	346884220
18957	3156.43992	345898080
18958	3156.80442	274706620
18961	3157.25994	324585150
18964	3157.71738	312095900
18968	3158.3337	336647010
18973	3159.02814	318244830
18974	3159.3948	285284000
18978	3159.93228	362884220
18979	3160.29642	339640100
18985	3160.9998	304761980
18990	3161.69652	339952030
18991	3162.0498	433542210
18995	3162.5874	353661700
19002	3163.36716	280541700
19008	3164.14578	315978400
19009	3164.5008	403357790
19010	3164.80242	284281760
19016	3165.5013	284841760
19022	3166.27566	345017890
19023	3166.6314	348991010
19026	3167.08566	355549500
19031	3167.70894	175984400
19037	3168.48732	306781820
19042	3169.1067	350779710
19045	3169.6362	372346880
19046	3169.99404	242207020
19051	3170.6118	293870270
19056	3171.23316	276151780
19061	3171.85494	357055100
19064	3172.3128	302828290
19065	3172.66746	383109150
19068	3173.1237	363505500
19072	3173.6619	332209860
19075	3174.19446	394153700
19076	3174.55044	329992740
19081	3175.1673	405065380
19082	3175.5327	371076990
19085	3176.05242	340883010
19088	3176.58516	362454020
19089	3176.94168	294099010
19092	3177.39546	402456480
19095	3177.9288	295199330
19099	3178.54416	392275360
19100	3178.89966	333670590
19105	3179.52018	288175010
19108	3180.05418	319594500
19109	3180.40932	384918240
19116	3181.19694	308444030
19119	3181.65618	271861860
19124	3182.27418	408893570
19125	3182.63094	384023810
19130	3183.2532	330242940
19131	3183.60846	232204370
19132	3183.91404	221042300
19133	3184.21644	309750140
19137	3184.7532	315920540
19138	3185.10996	322649980
19141	3185.56542	358065060
19145	3186.10434	336946940
19146	3186.46128	278976610
19147	3186.76218	373845120
19150	3187.28094	336762110
19152	3187.67844	358247650
19153	3188.0343	366884540
19157	3188.57058	343210110
19158	3188.92908	313342620
19159	3189.2307	331324130
19162	3189.68742	293576320
19165	3190.14396	287976290
19170	3190.7613	394234080
19173	3191.29446	387674240
19174	3191.65182	324124960
19178	3192.18918	291029790
19183	3192.80832	377901660
19186	3193.34094	335068290
19188	3193.73934	327155200
19189	3194.09592	312464770
19192	3194.55216	314623200
19193	3194.9082	324905280
19197	3195.44634	345114590
19198	3195.79494	420597600
19202	3196.3347	248614580
19203	3196.69116	261755870
19208	3197.30946	366259620
19211	3197.8392	255501620
19212	3198.19518	332978620
19218	3198.89628	325315230
19224	3199.59744	387637660
19225	3199.96566	290120220
19230	3200.5872	250512270
19231	3200.94516	325963420
19237	3201.65046	200485920
19239	3202.0506	276177060
19244	3202.74942	361699580
19245	3203.10732	238230290
19250	3203.72982	344896830
19251	3204.08484	341798690
19255	3204.6207	286993950
19256	3204.97572	353401410
